,gender,ethnicity,queer,nationality
J.C.M. Berne,Unknown,Unknown,,Unknown
Kate Bernheimer,Woman,White,False,Unknown
Emma Berquist,Unknown,Unknown,,Unknown
Jedediah Berry,Man,White,False,Unknown
Joanna Berry,Woman,White,False,Unknown
T.J. Berry,Unknown,Unknown,,Unknown
Shane Berryhill,Unknown,Unknown,,Unknown
Julie Bertagna,Unknown,Unknown,,Unknown
Kris Bertin,Unknown,Unknown,,Unknown
Max Bertolini,Unknown,Unknown,,Unknown
Federico Bertolucci,Unknown,Unknown,,Unknown
Hanna Bervoets,Unknown,Unknown,,Unknown
Tanvi Berwah,Unknown,Unknown,,Unknown
Alfred Bester,Man,White,False,Unknown
Simon Bestwick,Unknown,Unknown,,Unknown
A.P. Beswick,Unknown,Unknown,,Unknown
Sita Bethel,Unknown,Unknown,,Unknown
Bruce Bethke,Unknown,Unknown,,Unknown
Lauren Beukes,Woman,White,False,Unknown
Bill Bevins,Unknown,Unknown,,Unknown
Dave Beynon,Unknown,Unknown,,Unknown
Olympe Bhely-Quenum,Man,Black,False,Unknown
S.L. Bhyrappa,Unknown,Unknown,,Unknown
David Biedrzycki,Unknown,Unknown,,Unknown
Paul Biegel,Unknown,Unknown,,Unknown
John Bierce,Man,White,False,Unknown
Bikabi,Unknown,Unknown,,Unknown
Jasbinder Bilan,Unknown,Unknown,,Unknown
Diana Biller,Woman,White,False,Unknown
Franny Billingsley,Unknown,Unknown,,Unknown
Verena Binder,Unknown,Unknown,,Unknown
