CARD,NUMBER OF PREVIOUS YEARS,HERO MODE,SQUARE 1: TITLE,SQUARE 1: AUTHOR,SQUARE 1: HARD MODE,SQUARE 1: SUBSTITUTION,SQUARE 2: TITLE,SQUARE 2: AUTHOR,SQUARE 2: HARD MODE,SQUARE 2: SUBSTITUTION,SQUARE 3: TITLE,SQUARE 3: AUTHOR,SQUARE 3: HARD MODE,SQUARE 3: SUBSTITUTION,SQUARE 4: TITLE,SQUARE 4: AUTHOR,SQUARE 4: HARD MODE,SQUARE 4: SUBSTITUTION,SQUARE 5: TITLE,SQUARE 5: AUTHOR,SQUARE 5: HARD MODE,SQUARE 5: SUBSTITUTION,SQUARE 6: TITLE,SQUARE 6: AUTHOR,SQUARE 6: HARD MODE,SQUARE 6: SUBSTITUTION,SQUARE 7: TITLE,SQUARE 7: AUTHOR,SQUARE 7: HARD MODE,SQUARE 7: SUBSTITUTION,SQUARE 8: TITLE,SQUARE 8: AUTHOR,SQUARE 8: HARD MODE,SQUARE 8: SUBSTITUTION,SQUARE 9: TITLE,SQUARE 9: AUTHOR,SQUARE 9: HARD MODE,SQUARE 9: SUBSTITUTION,SQUARE 10: TITLE,SQUARE 10: AUTHOR,SQUARE 10: HARD MODE,SQUARE 10: SUBSTITUTION,SQUARE 11: TITLE,SQUARE 11: AUTHOR,SQUARE 11: HARD MODE,SQUARE 11: SUBSTITUTION,SQUARE 12: TITLE,SQUARE 12: AUTHOR,SQUARE 12: HARD MODE,SQUARE 12: SUBSTITUTION,SQUARE 13: TITLE,SQUARE 13: AUTHOR,SQUARE 13: HARD MODE,SQUARE 13: SUBSTITUTION,SQUARE 14: TITLE,SQUARE 14: AUTHOR,SQUARE 14: HARD MODE,SQUARE 14: SUBSTITUTION,SQUARE 15: TITLE,SQUARE 15: AUTHOR,SQUARE 15: HARD MODE,SQUARE 15: SUBSTITUTION,SQUARE 16: TITLE,SQUARE 16: AUTHOR,SQUARE 16: HARD MODE,SQUARE 16: SUBSTITUTION,SQUARE 17: TITLE,SQUARE 17: AUTHOR,SQUARE 17: HARD MODE,SQUARE 17: SUBSTITUTION,SQUARE 18: TITLE,SQUARE 18: AUTHOR,SQUARE 18: HARD MODE,SQUARE 18: SUBSTITUTION,SQUARE 19: TITLE,SQUARE 19: AUTHOR,SQUARE 19: HARD MODE,SQUARE 19: SUBSTITUTION,SQUARE 20: TITLE,SQUARE 20: AUTHOR,SQUARE 20: HARD MODE,SQUARE 20: SUBSTITUTION,SQUARE 21: TITLE,SQUARE 21: AUTHOR,SQUARE 21: HARD MODE,SQUARE 21: SUBSTITUTION,SQUARE 22: TITLE OF COLLECTION,SQUARE 22: AUTHOR OF COLLECTION,SQUARE 22: HARD MODE,SQUARE 22: SUBSTITUTION,SQUARE 22A: SHORT STORY 1,SQUARE 22A: AUTHOR 1,SQUARE 22B: SHORT STORY 2,SQUARE 22B: AUTHOR 2,SQUARE 22C: SHORT STORY 3,SQUARE 22C: AUTHOR 3,SQUARE 22D: SHORT STORY 4,SQUARE 22D: AUTHOR 4,SQUARE 22E: SHORT STORY 5,SQUARE 22E: AUTHOR 5,SQUARE 23: TITLE,SQUARE 23: AUTHOR,SQUARE 23: HARD MODE,SQUARE 23: SUBSTITUTION,SQUARE 24: TITLE,SQUARE 24: AUTHOR,SQUARE 24: HARD MODE,SQUARE 24: SUBSTITUTION,SQUARE 25: TITLE,SQUARE 25: AUTHOR,SQUARE 25: HARD MODE,SQUARE 25: SUBSTITUTION,FAVORITE SQUARE,UNFAVORITE SQUARE
18,1,Yes,The Pomegranate Gate,Ariel Kaplan,NA,NA,The Weaver and the Witch Queen,Genevieve Gornichec,NA,NA,Remarkably Bright Creatures,Shelby Van Pelt,NA,NA,The Boy with a Bird in His Chest,Emme Lund,NA,NA,Shigidi and the Brass Head of Obalufon,Wole Talabi,NA,NA,The Dead Cat Tail Assassins,P. Djeli Clark,NA,NA,Martyr!,Kaveh Akbar,NA,NA,The Djinn Waits a Hundred Years,Shubnum Khan,NA,NA,I Cheerfully REfuse,Leif Enger,NA,NA,The Midnight Bargain,C.L. Polk,NA,NA,The Atlas Complex,Olivie Blake,NA,NA,Children of Anguish and Anarchy,Tomi Adeyemi,NA,NA,Rakesfall,Vajra Chandrasekera,NA,NA,The Chimes,Anna Smaill,NA,NA,Parable of the Talents,Octavia E. Butler,NA,NA,The Grief of Stones,Katherine Addison,NA,NA,The Vanished Birds,Simon Jimenez,NA,NA,A Love Song for Ricki Wilde,Tia Williams,NA,NA,The Only Light Left Burning,Erik J. Brown,NA,NA,Goddess of the River,Vaishnavi Patel,NA,NA,The Other Valley,Scott Alexander Howard,NA,NA,NA,NA,NA,NA,Mountain,Cixin Liu,Set in Stone,K.J. Parker,The Chronologist,Ian R. MacLeod,How to Cook and Eat the Rich,Sunyi Dean,Interlude with Tattoos,K.J. Charles,The Ballad of Black Tom,Victor LaValle,NA,NA,Emily Wilde's Map of the Otherlands,Heather Fawcett,NA,NA,Gods of Jade and Shadow,Silvia Moreno-Garcia,NA,NA,17. Space Opera,12. Multi-POV
19,0,NA,Foundation,Isaac Asimov,Yes,NA,Dead until Dark,Charlaine Harris,NA,NA,Annihilation,Jeff Vandermeer,NA,NA,How to Become the Dark Lord and Die Trying,Django Wexler,NA,NA,Hex Hall,Rachel Hawkins,Yes,NA,Dragonfired,J. Zachary Pike,Yes,NA,Anansi Boys,Neil Gaiman,NA,NA,The Exorcist,William Peter Blatty,Yes,NA,The Time Lizard's Archaeologist,Trisha Hanifin,NA,NA,How to Get a Girlfriend (When You're a Terrifying Monster),Marie Cardno,Yes,NA,Ninth House,Leigh Bardugo,Yes,NA,World War Z,Max Brooks,Yes,NA,Just Stab Me Now,Jill Bearup,Yes,NA,Network Effect,Martha Wells,Yes,NA,Ember from the Sun,Mark Canter,NA,NA,Legends & Lattes,Travis Baldree,Yes,NA,"The Long Way to a Small, Angry Planet",Becky Chambers,Yes,NA,Na Viro,Gina Cole,Yes,NA,Project Hail Mary,Andy Weir,Yes,NA,Summer Knight,Jim Butcher,Yes,NA,Gone,Michael Grant,Yes,NA,Year's Best Aotearoa New Zealand Science Fiction and Fantasy: Volume 3,Marie Hodgkinson,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carter & Lovecraft,Jonathan L. Howard,NA,NA,The Sword Of Kaigen,M.L. Wang,Yes,NA,Nice Dragons Finish Last,Rachel Aaron,NA,NA,4. Criminals,7. Bards
20,1,Yes,Cast in Shadow,Michelle Sagara,Yes,NA,Lies of Locke Lamora,Scott Lynch,Yes,NA,Magic Rises,Ilona Andrews,NA,NA,Grace of Kings,Ken Liu,NA,NA,Lent,Jo Walton,NA,NA,Mammoths at the Gates,Nghi Vo,NA,NA,Chain Gang All Stars,Nana Kwame Adjei-Brenyah,NA,NA,King's Dragon,Kate Elliott,Yes,NA,The Wings Upon Her Back,Samantha Mills,NA,NA,Paladin's Grace,T Kingfisher,Yes,NA,Atlas Six,Olivie Blake,NA,NA,Victory City,Salman Rushdie,Yes,NA,Mislaid in Parts Half-Known,Seanan McGuire,NA,NA,The Kingdoms,Natasha Pulley,Yes,NA,Poor Things,Alasdair Gray,NA,NA,How to Become the Dark Lord and Die Trying,Django Wexler,NA,NA,Infinity Gate,MR Carey,NA,NA,She Who Became the Sun,Shelley Parker Chan,NA,NA,The Black Company,Glen Cook,Yes,NA,City of Last Chances,Adrian Tchaikovsky,Yes,NA,Bear and Nightingale,Katherine Arden,Yes,NA,Book of Swords,Gardener Dozios,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warlords of Wyrdwood,RJ Barker,Yes,NA,Daughter of the Empire,"Raymond E Feist, Janny Wurts",NA,NA,Crosstalk,Connie Willis,NA,NA,14. Character with a Disability,11. Dark Academia
21,1,Yes,The Cloud Roads,Martha Wells,Yes,NA,Dusk or Dark or Dawn or Day,Seanan McGuire,Yes,NA,The Deep,"Rivers Solomon, Daveed Diggs, William Hutson, Jonathan Snipes",Yes,NA,A Tempest of Tea,Hafsah Faizal,Yes,NA,Strange Beasts of China,Yan Ge,Yes,NA,To Shape a Dragon's Breath,Moniquil Blackgoose,Yes,NA,The Harp of Kings,Juliet Marilier,Yes,NA,Indian Burial Ground,Nick Medina,Yes,NA,Neom,Lavie Tidhar,Yes,NA,Winter Orbit,Everina Maxwell,Yes,NA,Bunny,Mona Awad,Yes,NA,The World We Make,N.K. Jemisin,Yes,NA,Womb City,Tloto Tsamaase,Yes,NA,Sixteen Souls,Rosie Talbot,Yes,NA,Brown Girl in the Ring,Nalo Hopkinson,Yes,NA,Bookshops & Bonedust,Travis Baldree,Yes,NA,The Stardust Grail,Yume Kitasei,Yes,NA,I Feed Her to the Beast and the Beast Is Me,Jamison Shea,Yes,NA,Diavola,Jennifer Marie Thorne,Yes,NA,The Last Tale of the Flower Bride,Roshani Chockshi,Yes,NA,I Was a Teenage Slasher,Stephen Graham Jones,Yes,NA,Labyrinths,Jorge Luis Borges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Navigational Entanglements,Aliette de Bodard,Yes,NA,The City of Brass,S.A. Chakraborty,Yes,NA,The Once and Future Witches,Alix E. Harrow,Yes,NA,5. Dreams,21. Set in a Small Town
22,8,NA,In the Ocean of Night,Gregory Benford,Yes,NA,Six Sacred Swords,Andrew Rowe,Yes,NA,System Collapse,Martha Wells,Yes,NA,Foundryside,Robert Jackson Bennett,Yes,NA,Meddling Kids,Edgar Cantero,Yes,NA,Dragons and Demons,Kel Kade,Yes,NA,Bloody Rose,Nicholas Eames,Yes,NA,The Last Murder at the End of the World,Stuart Turton,Yes,NA,The Dominion,Malachi Mata,Yes,NA,A Taste of Gold and Iron,Alexandra Rowland,Yes,NA,Ninth House,Leigh Bardugo,Yes,NA,The Republic of Thieves,Scott Lynch,Yes,NA,Someone You Can Build a Nest In,John Wiswell,Yes,NA,Wind and Truth,Brandon Sanderson,Yes,NA,Stone of Farewell,Tad Williams,Yes,NA,The Unspoken Name,A.K. Larkwood,Yes,NA,The Warrior's Apprentice,Lois McMaster Bujold,Yes,NA,Beneath the Rising,Premee Mohamed,Yes,NA,Love in the Age of Dragons,Fatima Henson,Yes,NA,The Road to Roswell,Connie Willis,Yes,NA,After Oz,Gordon McAlpine,Yes,NA,The Black Girl Survives in This One,Desiree S. Evans & Saraciea J. Fennell,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,It,Stephen King,Yes,NA,The Silmarillion,J.R.R. Tolkien,Yes,NA,The Book of M,Peng Shepherd,Yes,NA,20. Judge A Book By Its Cover,22. Five SFF Short Stories
23,0,NA,A Wizard of Earthsea,Ursula K. Le Guin,Yes,NA,The Haunting of Hill House,Shirley Jackson,Yes,NA,The Deep,Rivers Solomon,Yes,NA,Six of Crows,Leigh Bardugo,Yes,NA,Parable of the Sower,Octavia E. Butler,Yes,NA,I'm Afraid You've Got Dragons,Peter S. Beagle,Yes,NA,Magic's Pawn,Mercedes Lackey,Yes,NA,The Way of Kings,Brandon Sanderson,Yes,NA,The Ruptured Sky,Jessica A. McMinn,Yes,NA,A Marvellous Light,Freya Marske,Yes,NA,Blood Over Bright Haven,M.L. Wang,NA,NA,The Blade Itself,Joe Abercrombie,Yes,NA,The Last Phi Hunter,Salinee Goldenberg,Yes,NA,The Warrior's Apprentice,Lois McMaster Bujold,Yes,NA,Gardens of the Moon,Steven Erikson,Yes,NA,Legends & Lattes,Travis Baldree,Yes,NA,The First Sister,Linden A. Lewis,Yes,NA,A Master of Djinn,P. Djèlí Clark,Yes,NA,Moon of the Crusted Snow,Waubgeshig Rice,Yes,NA,The Tainted Cup,Robert Jackson Bennett,Yes,NA,My Heart Is a Chainsaw,Stephen Graham Jones,Yes,NA,Dreams Underfoot,Charles de Lint,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annihilation,Jeff VanderMeer,Yes,NA,City of Last Chances,Adrian Tchaikovsky,Yes,NA,The Empress of Salt and Fortune,Nghi Vo,NA,NA,23. Eldritch Creatures,11. Dark Academia
24,5,NA,Gardens of the Moon,Steven Erikson,Yes,NA,Princess Floralinda and the Forty-Flight Tower,Tamsyn Muir,Yes,NA,BLAME!,Tsutomu Nihei,Yes,NA,Six of Crows,Leigh Bardugo,Yes,NA,Sandman Volume 1,Neil Gaimen,Yes,NA,The Tropic of Serpents,Marie Brennan,Yes,NA,Soul Music,Terry Pratchett,Yes,NA,Cibola Burn,James S.A. Corey,Yes,NA,The Fire-Moon,Isabel Pelech,Yes,NA,Gentlest of Wild Things,Sarah Underwood,Yes,NA,The Two Doctors Gorski,Isaac Fellman,Yes,NA,The Fury of the Gods,John Gwynne,Yes,NA,The Immaculate Collection,Havlo,Yes,NA,"The Galaxy, and the Ground Within",Becky Chambers,Yes,NA,20th Century Boys,Naoki Urasawa,Yes,NA,Flowers of Esthelm,Pirateaba,Yes,NA,Space Opera,Catherynne M. Valente,Yes,NA,The Space Between Worlds,Micaiah Johnson,Yes,NA,Dungeon Crawler Carl,Matt Dinniman,Yes,NA,Kalin,E.C. Tubb,Yes,NA,Salems Lot,Steven King,Yes,NA,Skin and other Stories,Roald Dahl,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WORM,Wildbow,Yes,NA,Empire of Silence,Christopher Ruocchio,Yes,NA,Peacekeeper,B.L. Blanchard,Yes,NA,20. Judge A Book By Its Cover,11. Dark Academia
25,0,NA,The Will of The Many,James Islington,NA,NA,Guards! Guards!,Terry Pratchett,NA,NA,Carl’s Doomsday Scenario,Matt Dinniman,NA,NA,The Blacktongue Thief,Christopher Buehlman,NA,NA,The Lathe of Heaven,Ursula K. Le Guin,NA,NA,When Among Crows,Veronica Roth,NA,NA,NA,NA,NA,NA,Warbreaker,Brandon Sanderson,NA,NA,NA,NA,NA,NA,The Spear Cuts Through Water,Simon Jimenez,NA,NA,Piranesi,Susanna Clark,NA,NA,The Blade Itself,Joe Abercrombie,NA,NA,A sorceress comes to call,T. Kingfisher,NA,NA,Wind and Truth,Brandon Sanderson,NA,NA,Ship of Magic,Robin Hobb,NA,NA,Dungeon Crawler Carl,Matt Dinniman,NA,NA,Heaven’s River,Dennis E. Taylor,NA,NA,The scourge between stars,Ness Brown,NA,NA,A short walk through a wide world,Douglas Westerbeke,NA,NA,Before the coffee gets cold,Toshikazu kawaguchi,NA,NA,What feasts at night,T. Kingfisher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yumi and the Nightmare Painter,Brandon Sanderson,NA,NA,The Simarillion,J.R.R. Tolkien,NA,NA,NA,NA,NA,NA,4. Criminals,22. Five SFF Short Stories
26,8,NA,The Justice of Kings,Richard Swan,NA,NA,Atlas Alone,Emma Newman,NA,NA,Wool,Hugh Howey,NA,NA,The Spirit Thief,Rachel Aaron,NA,NA,The Gathering Storm,"Robert Jordan, Brandon Sanderson",NA,NA,Hounded,Kevin Hearne,NA,NA,The Gift,Alison Croggon,Yes,NA,Siege and Storm,Leigh Bardugo,Yes,NA,Tongue Eater,John Bierce,NA,NA,Reign & Ruin,J.D. Evans,NA,NA,The Atlas Six,Olivie Blake,NA,NA,Dragon Keeper,Robin Hobb,Yes,NA,Moonstorm,Yoon Ha Lee,NA,NA,Doctor Who and the Dalek Invasion of Earth,Terrance Dicks,NA,NA,Curse of the Mistwraith,Janny Wurts,Yes,NA,Ascend Online,Luke Chmilenko,NA,NA,Provenance,Ann Leckie,NA,NA,Sorcerer to the Crown,Zen Cho,NA,NA,Alien Clay,Adrian Tchaikovsky,NA,NA,Godkiller,Hannah Kaner,Yes,NA,Trillions,Nicholas Fisk,Yes,NA,NA,NA,NA,NA,The Vice-Marshal's Trial,L.E. Modesitt Jr.,The Most Successful Merchant,L.E. Modesitt Jr.,Madness?,L.E. Modesitt Jr.,The Forest Girl,L.E. Modesitt Jr.,The Choice,L.E. Modesitt Jr.,The Green Man's Foe,Juliet E. McKenna,Yes,NA,Decision at Thunder Rift,William H. Keith Jr.,Yes,NA,The Adventures of Amina al-Sirafi,Shannon Chakraborty,NA,NA,20. Judge A Book By Its Cover,18. Author of Color
27,0,NA,The Bone Doll's Twin,Lynn Flewelling,NA,NA,The Crystal Cave,Mary Stewart,NA,NA,Circe,Madeline Miller,NA,NA,Labyrinth's Heart,M.A. Carrick,NA,NA,The Lathe of Heaven,Ursula K. Le Guin,NA,NA,His Majesty's Dragon,Naomi Novik,Yes,NA,The Harp of Kings,Juliet Marillier,Yes,NA,The Adventures of Amina al-Sirafi,S.A. Chakraborty,Yes,NA,The Bone Harp,Victoria Goddard,NA,NA,Radiance,Grace Draven,NA,NA,Middlegame,Seanan McGuire,NA,NA,Inda,Sherwood Smith,NA,NA,The Tainted Cup,Robert Jackson Bennett,NA,NA,The Curse of Chalion,Lois McMaster Bujold,Yes,NA,The Lions of Al-Rassan,Guy Gavriel Kay,Yes,NA,Dance of the Goblins,Jaq D. Hawkins,Yes,NA,Children of Time,Adrian Tchaikovsky,NA,NA,A Stranger in Olondria,Sofia Samatar,NA,NA,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,Yes,NA,Poison Study,Maria V. Snyder,NA,NA,Chalice,Robin McKinley,NA,NA,The Bloody Chamber,Angela Carter,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deathless,Catherynne M. Valente,Yes,NA,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,NA,NA,Paladin's Grace,T. Kingfisher,NA,NA,15. Published in the 1990s,"16. Orcs, Trolls, and Goblins — Oh My!"
28,1,Yes,Ruby Red,Kerstin Gier,NA,NA,Ha Ha Hu Hu,Viswanatha Satyanarayana,Yes,NA,The Membranes,Chi Ta-wei,Yes,NA,Not Before Sundown,Johanna Sinisalo,NA,NA,Chaka,Thomas Mofolo,NA,NA,The Blind Earthworm in the Labyrinth,Veeraporn Nitiprapha,NA,NA,They Will Drown in Their Mothers' Tears,Johannes Anyuru,NA,NA,The Tower of Fools,Andrzej Sapkowski,NA,NA,The Book of Disappearance,Ibtisam Azem,NA,NA,"The Night Is Short, Walk on Girl",Tomihiko Morimi,NA,NA,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",NA,NA,Heroides,Ovid,Yes,NA,Anita de Monte Laughs Last,Xochitl Gonzalez,NA,NA,Moon Brow,Shahriar Mandanipour,Yes,NA,I Who Have Never Known Men,Jacqueline Harpman,NA,NA,Forest of a Thousand Daemons,D.O. Fagunwa,NA,NA,Red Dust,Yoss,NA,NA,The Wandering,Intan Paramaditha,NA,NA,The Blue Book of Nebo,Manon Steffan Ros,Yes,NA,"When I Sing, Mountains Dance",Irene Sola,NA,NA,The Head of the Saint,Socorro Acioli,Yes,NA,Evil Flowers,Gunnhild Oyehaug,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Twenty Days of Turin,Giorgio De Maria,Yes,NA,Dezafi,Franketienne,Yes,NA,Walking Practice,Dolki Min,NA,NA,3. Under the Surface,13. Published in 2024
29,1,NA,Heroes Die,Matthew Woodring Stover,Yes,NA,The Mask of Mirrors,M.A. Carrick,NA,NA,The Deep,Nick Cutter,Yes,NA,Theft of Swords,Michael J. Sullivan,Yes,NA,The Lathe of Heaven,Ursula K. Leguin,NA,NA,Deerskin,Robin McKinley,NA,NA,Inferno,Dante Alighieri,Yes,NA,Wind and Truth,Brandon Sanderson,Yes,NA,Nettle & Bone,T. Kingfisher,NA,Standalone 2022,Fourth Wing,Rebecca Yarros,NA,NA,A Deadly Education,Naomi Novik,NA,NA,Lord of Chaos,Robert Jordan,Yes,NA,The Fury of the Gods,John Gwynne,NA,NA,Flowers for Algernon,Daniel Keyes,Yes,NA,Tigana,Guy Gavriel Kay,Yes,NA,Bookshops & Bonedust,Travis Baldree,Yes,NA,Hyperion,Dan Simmons,NA,NA,Kindred,Octavia Butler,NA,NA,The Will of the Many,James Islington,Yes,NA,The Priory of the Orange Tree,Samantha Shannon,Yes,NA,House of Leaves,Mark Danielzewski,Yes,NA,Never Whistle at Night,NA,NA,NA,Kushtuka,Mathilda Zeller,White Hills,Rebecca Roanhorse,Navajos Don't Wear Elk Teeth,Conley Lyons,Quantum,Nick Medina,Hunger,Phoenix Boudreau,Annihilation,Jeff Vandermeer,Yes,NA,Dune,Frank Herbert,Yes,NA,The Grace of Kings,Ken Liu,NA,NA,20. Judge A Book By Its Cover,9. Self-Published or Indie Publisher
30,3,NA,Children of Time,Adrian Tchaikovsky,NA,NA,Dungeon Crawler Carl,Matt Dinniman,NA,NA,Fathom,J. Barton Mitchell,Yes,NA,Worm,Wildbow,Yes,NA,The Lathe of Heaven,Ursula K. Le Guin,NA,NA,A Natural History of Dragons,Marie Brennan,Yes,NA,The Lovecraft Investigations,Julian Simpson,NA,NA,The Trials of Empire,Richard Swan,NA,NA,A Journey of Black and Red,Álex Gilbert,NA,NA,The Spellshop,Sarah Beth Durst,NA,NA,In the Roses of Pieria,Anna Burke,NA,NA,Translation State,Ann Leckie,NA,NA,The Tainted Cup,Robert Jackson Bennett,NA,NA,The Long Way to a Small Angry Planet,Becky Chambers,NA,NA,The Sandman,Neil Gaiman,NA,NA,The Daughters' War,Christopher Buehlman,NA,NA,Midnight Burger,Joe Fisher,NA,NA,The Brides of High Hill,Nghi Vo,NA,NA,I Am Legend,Richard Matheson,NA,NA,Godkiller,Hannah Kaner,NA,NA,Nothing but the Rain,Naomi Salman,Yes,NA,NA,NA,NA,NA,Once Upon a Time at The Oakmont,P. A. Cornell,Tantie Merle and the Farmhand 4200,R. S. A. Garcia,Window Boy,Thomas Ha,The Sound of Children Screaming,Rachael K. Jones,Bad Doors,John Wiswell,The Dream-Quest of Vellitt Boe,Kij Johnson,NA,NA,Tress of the Emerald Sea,Brandon Sanderson,Yes,NA,The Fisherman,John Langan,NA,NA,3. Under the Surface,11. Dark Academia
31,2,NA,Mallace,John Gwynne,Yes,NA,How to Sell a Haunted House,Grady Hendrix,Yes,NA,Witch King,Martha Wells,NA,NA,Six of Crows,Leigh Bardugo,Yes,NA,Codex Born,Jim C. Hines,Yes,NA,The Rage of Dragons,Evan Winter,Yes,NA,Station Eleven,Emily St. John Mandel,NA,NA,Sabriel,Garth Nix,Yes,NA,The Loose Thread,Randy Keenan,Yes,NA,The Wonder Engine,T. Kingfisher,NA,NA,The Picture of Dorian Grey,Oscar Wilde,Yes,NA,Tower Lord,Anthony Ryan,Yes,NA,The Book that Broke the World,Mark Lawrence,NA,NA,Gallant,VE Schwab,Yes,NA,Foreigner,C.J. Cherryh,Yes,NA,Unnatural Magic,C.M. Waggoner,Yes,NA,Some Desperate Glory,Emily Tesh,Yes,NA,A Master of Djinn,P. Dejeli Clark,Yes,NA,Sixteen Ways to Defend a Walled City,K.J. Parker,Yes,NA,The Spellshop,Sarah Beth Durst,Yes,NA,Roadside Picnic,"Arkady Strugatskay, Boris Strugatsky",Yes,NA,The Best Science Fiction and Fantasy of the Year: Volume Seven,Jonathan Strahan,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Amina al-Sirafi,Shannon Chakraborty,Yes,NA,The Blacktongue Thief,Christopher Buehlman,NA,NA,The Tainted Cup,Robert Jackson Bennett,NA,NA,17. Space Opera,18. Author of Color
32,0,Yes,The Stranger Times,C.K. McDonnell,Yes,NA,DallerGut Dream Department Store,Miye Lee,Yes,NA,The Dungeon Anarchist's Cookbook,Matt Dinniman,Yes,NA,Retribution Falls,Chris Wooding,Yes,NA,Strange the Dreamer,Laini Taylor,Yes,NA,The Dragon Republic,R. F. Kuang,Yes,NA,Tress of the Emerald Sea,Brandon Sanderson,NA,NA,The Dream Daughter,Diane Chamberlain,Yes,NA,NPCs,Drew Hayes,NA,NA,Divine Rivals,Rebecca Ross,NA,NA,Blood Over Bright Haven,M.L. Wang,NA,NA,The Measure,Nikki Erlick,Yes,NA,The Book of Doors,Gareth Brown,Yes,NA,City of Blades,Robert Jackson Bennett,Yes,NA,The Last Wish,Andrzej Sapkowski,Yes,NA,The Hobbit,J.R.R. Tolkien,NA,NA,These Burning Stars,Bethany Jacobs,Yes,NA,Jade City,Fonda Lee,NA,NA,Annihilation,Jeff VanderMeer,Yes,NA,Talonsister,Jen Williams,Yes,NA,We Used to Live Here,Marcus Kliewer,Yes,NA,The King in Yellow,Robert W. Chambers,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,There Is No Antimemetics Division,qntm,Yes,NA,Exodus,Peter F. Hamilton,Yes,NA,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,NA,NA,21. Set in a Small Town,"16. Orcs, Trolls, and Goblins — Oh My!"
33,1,NA,Rivers of London,Ben Aaronovitch,Yes,NA,Sweet Silver Blues,Glen Cook,NA,NA,Walking to Aldebaran,Adrian Tchaikovsky,Yes,NA,Lyorn,Steven Brust,NA,NA,The Blood Tartan,Raymond St. Elmo,NA,NA,Red Unicorn,Tanith Lee,Yes,NA,The Part About the Dragon Was (Mostly) True,Sean Gibson,Yes,NA,"Let This Grieving Soul Retire, Volume 5",Tsukikage,Yes,NA,Murder at Spindle Manor,Morgan Stang,NA,NA,Just Stab Me Now,Jill Bearup,NA,NA,"Reign of the Seven Spellblades, Volume 12",Bokuto Uno,NA,NA,Frontier,Grace Curtis,NA,NA,The Fox Wife,Yangsze Choo,NA,NA,Red Side Story,Jasper Fforde,Yes,NA,A Bad Spell in Yurt,C. Dale Brittain,NA,NA,The Flaw in All Magic,Ben S. Dobson,Yes,NA,Persephone Station,Stina Leicht,Yes,NA,The Deer King,Nahoko Uehashi,NA,NA,Mardock Scramble,Tow Ubukata,Yes,NA,The Navigating Fox,Christopher Rowe,NA,NA,Penguin Highway,Tomihiko Morimi,Yes,NA,A Stroke of the Pen,Terry Pratchett,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Time of the Dark,Barbara Hambly,Yes,NA,Jonathan Strange and Mister Norrell,Susanna Clarke,NA,NA,The Mimicking of Known Successes,Malka Ann Older,NA,NA,19. Survival,23. Eldritch Creatures
34,0,NA,The Last Hunter,JN Chaney & Terry Mixon,NA,NA,A Closed and Common Orbit,Becky Chambers,NA,NA,System Collapse,Martha Wells,NA,NA,Lyorn,Steven Brust,NA,NA,The Dream Gatherer,Kristen Britain,NA,NA,The Kaiju Preservation Society,John Scalzi,NA,NA,The Bone Harp,Victoria Goddard,NA,NA,Nine Princes of Amber,Roger Zelazny,NA,NA,Trans Galactic Insurance,Andrew Moriarty,NA,NA,Treasured,Poppy Woods,NA,NA,Guards! Guards!,Terry Pratchet,NA,NA,Homecoming,Joel Shepherd,NA,NA,Down Range,Rick Partlow,NA,NA,The Drop of a Hat,Luke Chmilenko & G.D. Penman,NA,NA,Seance For a Vampire,Fred Saberhagen,NA,NA,Nine Goblins,T Kingfisher,NA,NA,Terminal Peace,Jim C. Hines,NA,NA,Duckett & Dyer: Dicks for Hire,G.M. Nair,NA,NA,Scorpio,Marko Kloos,NA,NA,Legends and Lattes,Travis Baldree,NA,NA,Winter Lost,Patricia Briggs,NA,NA,NA,NA,NA,NA,An Ancient Enemy,Olan Thorensen,Warriorborn,Jim Butcher,The Narrow Road Between Desires,Patrick Rothfuss,Randomize,Andy Weir,The Twisted Path,Harry Connolly,Eye of the Bedlam Bride,Matt Dinniman,NA,NA,A Fearful Symmetry,Olaf Thorensen,NA,NA,The Blacktongue Thief,Christopher Buehlman,NA,NA,15. Published in the 1990s,10. Romantasy
